"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ADBL","2022-01-31","426","426","421.2","422","-0.64","20348"
"ADBL","2022-01-30","425","432","420.1","424.7","1.85","39524"
"ADBL","2022-01-27","415","423","415","417","0.14","21775"
"ADBL","2022-01-26","420","420","415","416.4","-0.83","27790"
"ADBL","2022-01-25","420","425","415","419.9","-0.50","51430"
"ADBL","2022-01-24","434","434","418","422","-1.91","67946"
"ADBL","2022-01-23","440","441","428","430.2","-0.65","42972"
"ADBL","2022-01-20","430","435","427.5","433","0.00","41039"
"ADBL","2022-01-19","440","442","426.3","433","-1.59","60921"
"ADBL","2022-01-18","441","448","436.9","440","-0.23","95284"
"ADBL","2022-01-17","441","442","435","441","1.38","50102"
"ADBL","2022-01-16","426.9","437","430.1","435","1.90","63396"
"ADBL","2022-01-13","421.5","426.9","421.5","426.9","0.68","37250"
"ADBL","2022-01-12","435","435","422","424","-1.14","39598"
"ADBL","2022-01-11","429.5","432.9","426.1","428.9","-0.02","41350"
"ADBL","2022-01-10","435","437.5","427","429","-0.46","70123"
"ADBL","2022-01-09","424","434","420","431","2.38","79470"
"ADBL","2022-01-06","420","422","415.5","421","0.48","37485"
"ADBL","2022-01-05","426","430","418","419","-0.71","45591"
"ADBL","2022-01-04","422","424","410","422","1.69","52990"
"ADBL","2022-01-03","416","418","412","415","0.97","35929"
"ADBL","2022-01-02","410","412","400.1","411","0.24","78818"
"ADBL","2021-12-29","499","499","488","492","-0.40","200533"
"ADBL","2021-12-28","493","498","488","494","0.20","91046"
"ADBL","2021-12-27","510","510","491","493","-1.40","88858"
"ADBL","2021-12-26","499.1","502","495","500","0.81","130801"
"ADBL","2021-12-23","494.9","497","481","496","2.06","77234"
"ADBL","2021-12-22","475","488","468","486","3.85","91095"
"ADBL","2021-12-21","472.1","472.2","458.7","468","1.08","89845"
"ADBL","2021-12-20","449.8","471.9","449.8","463","4.99","203606"
"ADBL","2021-12-16","435","441","430.1","441","1.38","42355"
"ADBL","2021-12-15","445","453","430","435","-0.46","34320"
"ADBL","2021-12-14","429","440","420.5","437","3.80","12873"
"ADBL","2021-12-13","421","421.7","406.1","421","0.00","50626"
"ADBL","2021-12-12","437","441","421","421","-4.10","32738"
"ADBL","2021-12-09","440","440","430","439","-0.45","40348"
"ADBL","2021-12-08","445","445","437","441","-1.56","27135"
"ADBL","2021-12-07","452.1","456.9","448","448","-0.67","28400"
"ADBL","2021-12-06","446","459","430","451","1.12","68814"
"ADBL","2021-12-05","461","465","444","446","-4.50","68193"
"ADBL","2021-12-02","475","476.9","467","467","-1.27","37874"
"ADBL","2021-12-01","472","475","470","473","0.00","28814"
"ADBL","2021-11-30","474","480","468","473","-0.94","35963"
"ADBL","2021-11-29","471","483","469","477.5","0.32","25152"
"ADBL","2021-11-28","491","495","470","476","-3.84","64115"
"ADBL","2021-11-25","496","499.5","491","495","-0.18","40312"
"ADBL","2021-11-24","497","498.9","495.1","495.9","-0.24","36718"
"ADBL","2021-11-23","500","505","495","497.1","-1.41","36868"
"ADBL","2021-11-22","504","509","503","504.2","0.04","20171"
"ADBL","2021-11-21","508","510","502.5","504","-0.83","39307"
"ADBL","2021-11-18","503.1","511","503.1","508.2","-0.92","19692"
"ADBL","2021-11-17","518","518","508.2","512.9","0.96","47611"
"ADBL","2021-11-16","507","513","500","508","0.30","48725"
"ADBL","2021-11-15","510","514.9","506","506.5","-0.47","27116"
"ADBL","2021-11-14","503","510","497","508.9","0.37","36575"
"ADBL","2021-11-11","512","520","500","507","-1.55","68078"
"ADBL","2021-11-09","528.1","530","512","515","-2.46","53120"
"ADBL","2021-11-08","543","544","528","528","-2.74","27478"
"ADBL","2021-11-03","539","549","533","542.9","2.72","103451"
"ADBL","2021-11-02","521","529.9","515","528.5","1.44","30675"
"ADBL","2021-11-01","521.4","535","520","521","-2.07","66975"
"ADBL","2021-10-31","530","544","524","532","-1.12","75090"
"ADBL","2021-10-28","555","560","538","538","-2.36","91581"
"ADBL","2021-10-27","527","558.5","516","551","4.95","193472"
"ADBL","2021-10-26","520","525","513","525","2.54","60461"
"ADBL","2021-10-25","504","513","499","512","1.79","47523"
"ADBL","2021-10-24","501","505","492","503","0.56","39448"
"ADBL","2021-10-21","494","505","494","500.2","-0.71","30079"
"ADBL","2021-10-20","502.8","517.1","492","503.8","2.19","28247"
"ADBL","2021-10-19","502","502","482","493","-0.60","42712"
"ADBL","2021-10-18","508","508","494.2","496","-2.34","38949"
"ADBL","2021-10-17","509","514.9","505","507.9","-0.22","13824"
"ADBL","2021-10-11","509","510.9","500","509","-0.10","26076"
"ADBL","2021-10-10","506","524","505","509.5","0.69","51759"
"ADBL","2021-10-06","514","514.9","500","506","0.40","39844"
"ADBL","2021-10-05","495","507","492","504","1.41","55864"
"ADBL","2021-10-04","498","502","491","497","-0.20","54880"
"ADBL","2021-10-03","508","508","498","498","-1.97","62039"
