"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBIME","2022-01-31","372.3","372.3","360.1","364","-0.27","91300"
"GBIME","2022-01-30","361.5","373.3","361","365","2.96","151363"
"GBIME","2022-01-27","351","356.1","350.2","354.5","0.14","98860"
"GBIME","2022-01-26","364.9","364.9","351.6","354","-1.67","121297"
"GBIME","2022-01-25","362.1","365","348","360","1.41","184172"
"GBIME","2022-01-24","371.2","371.2","349.9","355","-2.47","320833"
"GBIME","2022-01-23","347.8","372","347.8","364","6.74","468687"
"GBIME","2022-01-20","344","344","338","341","-0.55","72596"
"GBIME","2022-01-19","346.8","352","340","342.9","0.85","116982"
"GBIME","2022-01-18","335","350","334.2","340","1.49","163491"
"GBIME","2022-01-17","335","338","331.2","335","0.93","124003"
"GBIME","2022-01-16","326","338","328","331.9","1.81","189009"
"GBIME","2022-01-13","320","326","320","326","1.56","65532"
"GBIME","2022-01-12","326","331","321","321","-1.53","88713"
"GBIME","2022-01-11","327","330","324","326","-0.31","98026"
"GBIME","2022-01-10","333.4","338","325","327","-1.51","127855"
"GBIME","2022-01-09","334.9","337","329.9","332","0.61","142518"
"GBIME","2022-01-06","320","332","315","330","3.09","95091"
"GBIME","2022-01-05","326","331","317","320.1","-1.81","145665"
"GBIME","2022-01-04","302","326","300","326","8.59","193324"
"GBIME","2022-01-03","306","306","300","300.2","0.07","81164"
"GBIME","2022-01-02","304.8","304.8","298","300","0.37","51165"
"GBIME","2021-12-29","298","300","296","298.9","0.30","39784"
"GBIME","2021-12-28","302","302","295.9","298","-1.29","42744"
"GBIME","2021-12-27","311","311","300","301.9","-1.66","70874"
"GBIME","2021-12-26","306","308","305","307","1.32","69000"
"GBIME","2021-12-23","307","307","301","303","0.66","53063"
"GBIME","2021-12-22","303.9","304.8","299","301","1.01","88589"
"GBIME","2021-12-21","295","300","295","298","1.02","45100"
"GBIME","2021-12-20","303.4","303.4","294","295","-0.84","40837"
"GBIME","2021-12-16","300","302","295","297.5","-0.17","45859"
"GBIME","2021-12-15","300","317","295","298","1.02","107988"
"GBIME","2021-12-14","288","295","286.3","295","4.42","36286"
"GBIME","2021-12-13","285","285","275","282.5","-1.22","109906"
"GBIME","2021-12-12","298","302","284.1","286","-3.87","123530"
"GBIME","2021-12-09","297","300","295","297.5","0.17","59027"
"GBIME","2021-12-08","305","308","297","297","-1.98","48654"
"GBIME","2021-12-07","306","315","302","303","0.33","95092"
"GBIME","2021-12-06","301","306","289","302","-0.66","161939"
"GBIME","2021-12-05","310","312","300","304","-1.94","81412"
"GBIME","2021-12-02","318","320","307","310","-1.62","78872"
"GBIME","2021-12-01","315","320","315","315.1","-0.44","66799"
"GBIME","2021-11-30","325","330","313","316.5","-2.28","61405"
"GBIME","2021-11-29","332","332","318","323.9","-2.44","69047"
"GBIME","2021-11-28","368","372","364","365.2","-0.76","224928"
"GBIME","2021-11-25","370","370","365.5","368","0.27","63100"
"GBIME","2021-11-24","380","380","363","367","-1.61","73232"
"GBIME","2021-11-23","377","379","372","373","-1.06","58119"
"GBIME","2021-11-22","380","380","375.2","377","0.08","40354"
"GBIME","2021-11-21","378","378","373","376.7","1.54","59246"
"GBIME","2021-11-18","370","377","370","371","-1.20","45387"
"GBIME","2021-11-17","372.5","380","372.5","375.5","0.81","45205"
"GBIME","2021-11-16","372","373","370","372.5","0.68","66706"
"GBIME","2021-11-15","372","375.5","369","370","0.30","35401"
"GBIME","2021-11-14","375","375","368","368.9","-1.63","50305"
"GBIME","2021-11-11","380","382","373","375","-1.32","77293"
"GBIME","2021-11-09","386","387","378","380","-2.26","60254"
"GBIME","2021-11-08","395","395","388","388.8","-0.08","32764"
"GBIME","2021-11-03","393","393.8","388","389.1","-0.15","57598"
"GBIME","2021-11-02","392","396","387","389.7","-0.43","44210"
"GBIME","2021-11-01","397.8","403","389","391.4","0.36","74217"
"GBIME","2021-10-31","396","398","388.1","390","-1.07","105469"
"GBIME","2021-10-28","399.1","400","392","394.2","-0.71","52170"
"GBIME","2021-10-27","392.7","403","392.7","397","-0.50","84449"
"GBIME","2021-10-26","389.9","402","389","399","3.64","81262"
"GBIME","2021-10-25","375","385","374","385","2.94","53313"
"GBIME","2021-10-24","378","379","371","374","0.13","52510"
"GBIME","2021-10-21","381","385","373.4","373.5","-1.71","70120"
"GBIME","2021-10-20","380.4","388","375","380","1.88","77505"
"GBIME","2021-10-19","388","388","363","373","-4.09","144512"
"GBIME","2021-10-18","399.5","399.5","385","388.9","-2.65","86933"
"GBIME","2021-10-17","405","409","395.2","399.5","-0.50","60212"
"GBIME","2021-10-11","406.7","406.7","390.7","401.5","-3.25","178797"
"GBIME","2021-10-10","420","424.9","413","415","0.73","70759"
"GBIME","2021-10-06","407","423","407","412","2.49","66148"
"GBIME","2021-10-05","397","404.6","397","402","1.31","48186"
"GBIME","2021-10-04","400","403","393.9","396.8","-1.27","108780"
"GBIME","2021-10-03","408","410","400","401.9","-1.50","84589"
"GBIME","2021-09-30","412","418","402","408","-0.73","70553"
"GBIME","2021-09-29","416.9","416.9","400","411","0.54","99368"
"GBIME","2021-09-28","420","425","405","408.8","-3.36","177197"
"GBIME","2021-09-27","446","446","421","423","-3.31","112692"
"GBIME","2021-09-26","450","458.8","437.3","437.5","-1.24","131200"
"GBIME","2021-09-23","437.5","461","436","443","3.26","201067"
"GBIME","2021-09-22","415","429","415","429","4.15","96634"
"GBIME","2021-09-21","410","421","395.1","411.9","0.46","171775"
"GBIME","2021-09-20","425.4","426","409","410","-3.76","197206"
"GBIME","2021-09-16","430","435","422","426","-1.84","200460"
"GBIME","2021-09-15","443","443","433.5","434","-1.16","95221"
"GBIME","2021-09-14","443","444","437","439.1","-0.66","109950"
"GBIME","2021-09-13","445","447","438.3","442","0.45","121092"
"GBIME","2021-09-12","440.5","444","437","440","0.76","109006"
"GBIME","2021-09-09","440","442.9","432","436.7","0.51","150336"
"GBIME","2021-09-08","444","445","429","434.5","-2.58","246710"
"GBIME","2021-09-07","459","464.9","444","446","-0.89","178853"
"GBIME","2021-09-06","431.6","450","427","450","4.26","168371"
"GBIME","2021-09-05","444","447","424","431.6","-2.79","231166"
"GBIME","2021-09-02","457","457","442","444","-1.33","131824"
"GBIME","2021-09-01","445","457","444.3","450","1.12","173017"
"GBIME","2021-08-31","450.1","458","439.1","445","-0.65","214326"
"GBIME","2021-08-29","461","462","447.9","447.9","-2.42","219374"
"GBIME","2021-08-26","465","472","455","459","-0.86","253991"
"GBIME","2021-08-25","465","474","460","463","-1.91","157376"
"GBIME","2021-08-24","480","485","472","472","-1.15","157506"
"GBIME","2021-08-19","485","490","477","477.5","-1.42","225740"
"GBIME","2021-08-18","486","490","478","484.4","-0.47","243716"
"GBIME","2021-08-17","503.2","503.2","485","486.7","-1.36","278898"
"GBIME","2021-08-16","497.2","503","489","493.4","1.21","442292"
"GBIME","2021-08-15","484","502","479","487.5","0.72","397940"
"GBIME","2021-08-12","485","489","475","484","-0.21","193675"
"GBIME","2021-08-11","493.5","497.6","483","483.8","-0.86","146882"
"GBIME","2021-08-10","480","493","478.1","488","1.67","280112"
"GBIME","2021-08-09","485","485","478.1","480","-0.41","202869"
"GBIME","2021-08-08","490","490","480.1","482","-0.21","182326"
"GBIME","2021-08-05","484","487","480.2","483","0.21","147479"
"GBIME","2021-08-04","485.5","485.5","480.1","482","0.08","166445"
"GBIME","2021-08-03","488","488","480","481.6","-0.48","150950"
"GBIME","2021-08-02","490","490","481","483.9","-0.12","159839"
"GBIME","2021-08-01","490","492","483","484.5","-0.19","191345"
"GBIME","2021-07-29","498.7","498.7","482.1","485.4","-0.74","230224"
"GBIME","2021-07-28","499","499","485.1","489","-0.81","217816"
"GBIME","2021-07-27","485","495","470.4","493","-0.18","459493"
"GBIME","2021-07-26","505","510","492","493.9","-1.22","606992"
"GBIME","2021-07-25","485","503","485","500","5.04","996032"
"GBIME","2021-07-22","477","478","467.1","476","1.28","395044"
"GBIME","2021-07-20","470","476","463","470","0.00","218572"
"GBIME","2021-07-19","468","479.5","464","470","2.33","514974"
"GBIME","2021-07-18","448","460","445","459.3","4.15","275134"
"GBIME","2021-07-15","445","446","439","441","0.23","130473"
"GBIME","2021-07-14","448","448","440","440","-0.68","86671"
"GBIME","2021-07-13","440","446","438","443","0.23","96251"
"GBIME","2021-07-12","455","455","438","442","-1.34","180547"
"GBIME","2021-07-11","440","448","440","448","2.52","153926"
"GBIME","2021-07-08","435","438","434","437","0.46","123669"
"GBIME","2021-07-07","417","441","417","435","0.00","98945"
"GBIME","2021-07-06","435","438","434","435","0.00","76600"
"GBIME","2021-07-05","436","438","434","435","0.00","96710"
"GBIME","2021-07-04","436","440","434","435","-0.23","124184"
"GBIME","2021-07-01","440","444","436","436","0.00","85041"
"GBIME","2021-06-30","459","459","433","436","-0.46","110066"
"GBIME","2021-06-29","460","460","436","438","-1.13","128533"
"GBIME","2021-06-28","460","460","441","443","0.91","131115"
"GBIME","2021-06-27","436","444","433","439","0.92","226747"
