"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2022-01-31","2895.77","2909.13","2860.7","2871.05","-0.50","5154177598.09"
"NEPSE","2022-01-30","2805.01","2885.62","2805.01","2885.53","3.80","6324274038.57"
"NEPSE","2022-01-27","2778.89","2804.07","2776.74","2779.98","0.12","3343413684.03"
"NEPSE","2022-01-26","2817.17","2819.74","2760.88","2776.65","-1.36","4313154042.17"
"NEPSE","2022-01-25","2827.75","2857.91","2781.01","2815.06","0.20","5395672627.02"
"NEPSE","2022-01-24","2926.12","2926.21","2803.72","2820.65","-3.42","8888513177.57"
"NEPSE","2022-01-23","2942.97","2962.44","2906.19","2920.51","-0.37","7030508262.97"
"NEPSE","2022-01-20","2901.51","2936.58","2884","2931.34","1.14","5773120409.18"
"NEPSE","2022-01-19","2945.63","2952.57","2889.18","2898.31","-1.31","6021311881.03"
"NEPSE","2022-01-18","2953.11","2981.92","2915.56","2936.66","-0.37","8443419561.86"
"NEPSE","2022-01-17","2944.92","2956.11","2907.19","2947.38","0.71","7901890668.04"
"NEPSE","2022-01-16","2873.42","2940.13","2873.41","2926.74","2.41","9676317059.06"
"NEPSE","2022-01-13","2808.8","2858.2","2802.49","2857.75","1.93","6669748567.76"
"NEPSE","2022-01-12","2839.87","2874.89","2796.61","2803.62","-1.08","8033212742"
"NEPSE","2022-01-11","2792.64","2848.26","2771.15","2834.13","1.77","6724526197.51"
"NEPSE","2022-01-10","2772.09","2806.74","2755.79","2784.95","0.70","7123424035.13"
"NEPSE","2022-01-09","2699.88","2770.55","2699.88","2765.47","2.71","7101831591.11"
"NEPSE","2022-01-06","2647.76","2692.76","2633.31","2692.47","1.63","3676846349.3"
"NEPSE","2022-01-05","2687.75","2700.29","2640.97","2649.2","-1.15","4621598582.71"
"NEPSE","2022-01-04","2619.22","2679.95","2593.9","2679.95","2.30","4320269827.53"
"NEPSE","2022-01-03","2595.22","2634.86","2593.92","2616.94","1.12","4533017178.58"
"NEPSE","2022-01-02","2538.25","2585.01","2528.75","2584.91","2.39","4126980067.53"
"NEPSE","2021-12-29","2520.55","2538.78","2512.41","2524.5","0.22","3623480291.76"
"NEPSE","2021-12-28","2523.87","2533.63","2486.05","2518.99","-0.11","3125575631.56"
