"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBL","2022-01-31","464","465","452","452.6","-1.61","32745"
"SBL","2022-01-30","451.8","463","450","460","3.84","59776"
"SBL","2022-01-27","447.5","451","441","443","-0.63","47091"
"SBL","2022-01-26","460","460","445","445.8","-1.81","70434"
"SBL","2022-01-25","467.1","467.1","446","454","-0.87","94791"
"SBL","2022-01-24","481.4","481.4","451","458","-2.97","170021"
"SBL","2022-01-23","467.8","486.3","466","472","0.96","140926"
"SBL","2022-01-20","470","471","463","467.5","-0.53","62906"
"SBL","2022-01-19","484","484","465","470","-1.05","91842"
"SBL","2022-01-18","466.5","485.5","465","475","1.06","180428"
"SBL","2022-01-17","473","480","463","470","0.00","145739"
"SBL","2022-01-16","459","470","458","470","2.40","180707"
"SBL","2022-01-13","455","460","449","459","1.32","70869"
"SBL","2022-01-12","457.1","465","450","453","-2.52","75811"
"SBL","2022-01-11","456","466","455","464.7","1.68","90968"
"SBL","2022-01-10","468","469","455","457","-1.51","91946"
"SBL","2022-01-09","455","467.9","455","464","2.86","166776"
"SBL","2022-01-06","440","452","434","451.1","2.99","146497"
"SBL","2022-01-05","455","455","436.1","438","-2.69","111207"
"SBL","2022-01-04","429.9","452","419.5","450.1","5.66","154504"
"SBL","2022-01-03","418","427","415","426","3.00","86955"
"SBL","2022-01-02","414.2","421","405","413.6","1.84","93520"
"SBL","2021-12-29","468","468","456","464","0.22","70264"
"SBL","2021-12-28","459","464","448","463","0.87","71517"
"SBL","2021-12-27","472","472.1","456","459","-1.92","124700"
"SBL","2021-12-26","455","469.5","455","468","3.75","182329"
"SBL","2021-12-23","455","456","441.2","451.1","1.12","77774"
"SBL","2021-12-22","438.7","447.8","435","446.1","3.72","77927"
"SBL","2021-12-21","430","433.5","427","430.1","0.96","42963"
"SBL","2021-12-20","433.5","433.5","417","426","0.24","53504"
"SBL","2021-12-16","424.1","428","420","425","-0.93","36676"
"SBL","2021-12-15","447","448.8","425","429","-2.50","103111"
"SBL","2021-12-14","421","440","421","440","5.52","35375"
"SBL","2021-12-13","428","428","408","417","-0.71","102758"
"SBL","2021-12-12","439","440","420","420","-4.33","116463"
"SBL","2021-12-09","442","442","429","439","1.15","67346"
"SBL","2021-12-08","443","443","433","434","-1.81","72909"
"SBL","2021-12-07","455","455","441","442","-1.34","40171"
"SBL","2021-12-06","444","455","434","448","1.82","87059"
"SBL","2021-12-05","449","457.9","439","440","-3.93","179770"
"SBL","2021-12-02","468","468","455","458","-1.29","66129"
"SBL","2021-12-01","466","472.2","463","464","0.22","69410"
"SBL","2021-11-30","469","473","456","463","-0.43","75981"
"SBL","2021-11-29","470","474","460","465","-0.64","33939"
"SBL","2021-11-28","470","475.1","461","468","-2.30","63068"
"SBL","2021-11-25","490","490","474","479","-0.62","57132"
"SBL","2021-11-24","490","490","479","482","-1.43","74876"
"SBL","2021-11-23","493","493","485","489","-0.63","57952"
"SBL","2021-11-22","499","499","492","492.1","-1.01","35083"
"SBL","2021-11-21","497","499","494.1","497.1","0.02","33569"
"SBL","2021-11-18","506","506","492","497","-1.78","52517"
"SBL","2021-11-17","505","508","500","506","0.40","79365"
"SBL","2021-11-16","497","506","494","504","1.41","55838"
"SBL","2021-11-15","495","500","495","497","0.40","42884"
"SBL","2021-11-14","488","495","485","495","1.43","77529"
"SBL","2021-11-11","492","500","487","488","-2.40","95531"
"SBL","2021-11-09","514","516","497","500","-2.91","135857"
"SBL","2021-11-08","522","524.9","515","515","-1.15","65089"
"SBL","2021-11-03","535.3","535.3","520","521","-0.74","122419"
"SBL","2021-11-02","518","526","514","524.9","1.33","136994"
"SBL","2021-11-01","524.2","524.2","513","518","0.78","245305"
"SBL","2021-10-31","512","532.6","510","514","2.39","469356"
"SBL","2021-10-28","505","505","490.1","502","0.00","124788"
"SBL","2021-10-27","499","510","489.2","502","0.64","144494"
"SBL","2021-10-26","491","502","487","498.8","1.59","145269"
"SBL","2021-10-25","486.6","491.5","470","491","2.91","272997"
"SBL","2021-10-24","466","479.9","457.1","477.1","2.38","159259"
"SBL","2021-10-21","459.9","469","451.5","466","3.33","174239"
"SBL","2021-10-20","442.6","464","435","451","3.92","143862"
"SBL","2021-10-19","437","442","432","434","-2.25","84447"
"SBL","2021-10-18","450.1","459","443","444","-3.27","87817"
"SBL","2021-10-17","468.1","468.1","450","459","0.00","84303"
"SBL","2021-10-11","460","470","449","459","-1.71","135768"
"SBL","2021-10-10","477","486.5","461.7","467","-0.15","105291"
"SBL","2021-10-06","467.3","474.1","461.1","467.7","0.09","129361"
"SBL","2021-10-05","470","475","464","467.3","-0.57","94017"
"SBL","2021-10-04","473","478","469","470","-0.63","74701"
"SBL","2021-10-03","488","488.5","471.1","473","-1.25","78759"
"SBL","2021-09-30","490","490","477","479","-1.64","96070"
"SBL","2021-09-29","476","492.8","475.2","487","0.79","164689"
"SBL","2021-09-28","490","499","483.2","483.2","-3.21","80620"
"SBL","2021-09-27","510","510","494","499.2","-1.73","95179"
"SBL","2021-09-26","528","528","508","508","-1.93","110697"
"SBL","2021-09-23","510","535","510","518","2.78","251321"
"SBL","2021-09-22","494.7","506.1","490","504","3.92","115775"
"SBL","2021-09-21","482","500","478.2","485","-0.41","147758"
"SBL","2021-09-20","500","500","485.1","487","-1.62","142479"
"SBL","2021-09-16","503.1","503.1","488","495","-2.21","188223"
"SBL","2021-09-15","518","518","504.1","506.2","-2.26","59452"
"SBL","2021-09-14","518","518","510","517.9","0.23","76287"
"SBL","2021-09-13","516","527.2","510","516.7","0.72","129696"
"SBL","2021-09-12","505","515","499","513","1.99","112861"
"SBL","2021-09-09","512","512","501","503","-0.98","91897"
"SBL","2021-09-08","510.5","517","505","508","-2.31","90813"
"SBL","2021-09-07","535","537","512.6","520","-2.44","146047"
"SBL","2021-09-06","500","534","495.1","533","5.96","320462"
"SBL","2021-09-05","505","514","488","503","-0.40","250689"
"SBL","2021-09-02","520","520","504.2","505","-1.75","137840"
"SBL","2021-09-01","515","522","506.1","514","0.59","210317"
"SBL","2021-08-31","509","524","505.5","511","-1.54","342803"
"SBL","2021-08-29","540","540","517","519","-3.35","323259"
"SBL","2021-08-26","549","549","530.2","537","-0.28","193174"
"SBL","2021-08-25","569","569","538.1","538.5","-3.49","230404"
"SBL","2021-08-24","564.5","565","557","558","-1.76","113330"
"SBL","2021-08-19","576","577","564","568","-0.87","234405"
"SBL","2021-08-18","575.2","575.2","555","573","1.60","228125"
"SBL","2021-08-17","584","584","562.1","564","-2.08","196973"
"SBL","2021-08-16","590.5","590.5","572","576","-0.52","257854"
"SBL","2021-08-15","593.7","593.7","572.5","579","-0.53","329961"
"SBL","2021-08-12","582.1","592","571.2","582.1","0.00","155134"
"SBL","2021-08-11","589","599","580","582.1","-1.17","199866"
"SBL","2021-08-10","586","597","577","589","1.20","284665"
"SBL","2021-08-09","592","597","577","582","-1.32","123388"
"SBL","2021-08-08","591.9","605","582.1","589.8","-0.03","128608"
"SBL","2021-08-05","590","597","582","590","0.53","219767"
"SBL","2021-08-04","588.9","593","585","586.9","0.84","130487"
"SBL","2021-08-03","580","582","574","582","1.22","126383"
"SBL","2021-08-02","568","579","568","575","1.23","160241"
"SBL","2021-08-01","575","575","568","568","0.09","156613"
"SBL","2021-07-29","578","582.3","567","567.5","-0.61","196093"
"SBL","2021-07-28","588","589","568","571","-1.21","239713"
"SBL","2021-07-27","570","582.4","558","578","-0.34","378722"
"SBL","2021-07-26","600","600","575","580","-2.49","534163"
"SBL","2021-07-25","582","595","576","594.8","3.99","440152"
"SBL","2021-07-22","561","582","553","572","3.34","562764"
"SBL","2021-07-20","550","554","543","553.5","1.00","249763"
"SBL","2021-07-19","554","567.7","547.1","548","0.18","444046"
"SBL","2021-07-18","514","550","510","547","8.53","534269"
"SBL","2021-07-15","500","507","498","504","1.61","113654"
"SBL","2021-07-14","499","500","487","496","-0.60","174105"
"SBL","2021-07-13","496","500","492","499","0.60","107787"
"SBL","2021-07-12","510","511","489","496","-1.59","193102"
"SBL","2021-07-11","495","505","494","504","2.02","209756"
"SBL","2021-07-08","512","512","488","494","1.23","224314"
"SBL","2021-07-07","494","494","487","488","-0.41","179959"
"SBL","2021-07-06","489","492","482","490","1.03","66502"
"SBL","2021-07-05","483","490","483","485","-0.21","59947"
"SBL","2021-07-04","499","499","485","486","-0.82","101509"
"SBL","2021-07-01","490","495","487","490","0.00","78951"
"SBL","2021-06-30","496","496","480","490","0.00","90875"
"SBL","2021-06-29","500","500","486","490","-1.21","84167"
"SBL","2021-06-28","500","509","491","496","0.00","156416"
"SBL","2021-06-27","491","500","481","496","2.69","174583"
"SBL","2021-06-24","485","489","480","483","-1.02","101955"
"SBL","2021-06-23","501","503","484","488","-2.59","148223"
"SBL","2021-06-22","490","502","478","501","3.51","279063"
"SBL","2021-06-21","499","500","480","484","-2.02","245254"
"SBL","2021-06-20","508","510","488","494","-2.18","213250"
"SBL","2021-06-17","516","516","495","505","-0.39","249466"
"SBL","2021-06-16","516","525","502","507","-0.78","236433"
"SBL","2021-06-15","530","533","509","511","-2.29","322625"
"SBL","2021-06-14","490","524","490","523","6.30","605569"
"SBL","2021-06-13","497","497","470","492","3.80","257861"
"SBL","2021-06-10","500","500","473","474","-1.46","144404"
"SBL","2021-06-09","500","500","470","481","0.00","224636"
"SBL","2021-06-08","475","494","475","480","1.05","346904"
"SBL","2021-06-07","490","490","467","475","-1.66","306016"
"SBL","2021-06-06","478","494","478","483","2.99","431960"
"SBL","2021-06-03","450","473","450","469","4.92","545480"
"SBL","2021-06-02","443","448","440","447","0.90","103212"
"SBL","2021-06-01","445","450","440","443","-0.45","135131"
"SBL","2021-05-31","455","460","445","445","-0.45","244174"
"SBL","2021-05-30","444","460","439","447","1.13","266511"
"SBL","2021-05-27","435","447","433","442","0.45","130880"
"SBL","2021-05-25","448","450","440","440","-1.79","123320"
"SBL","2021-05-24","449","457","445","448","0.45","292096"
"SBL","2021-05-23","435","451","426","446","1.59","241805"
"SBL","2021-05-20","431","440","431","439","1.86","154921"
"SBL","2021-05-19","437","439","428","431","0.47","215898"
"SBL","2021-05-18","428","430","426","429","0.23","89014"
"SBL","2021-05-17","430","431","427","428","0.47","89755"
"SBL","2021-05-16","422","428","421","426","1.67","95001"
"SBL","2021-05-13","415","420","415","419","0.48","44525"
"SBL","2021-05-12","420","423","417","417","-0.95","40339"
"SBL","2021-05-11","420","425","420","421","0.24","34930"
"SBL","2021-05-10","417","422","417","420","0.48","45632"
"SBL","2021-05-09","416","425","415","418","-0.24","55500"
"SBL","2021-05-06","419","420","414","419","0.00","48341"
"SBL","2021-05-05","417","422","417","419","-0.71","52345"
"SBL","2021-05-04","422","425","420","422","-0.47","29959"
"SBL","2021-05-03","434","435","421","424","-0.93","85425"
"SBL","2021-05-02","428","431","421","428","1.66","95819"
"SBL","2021-04-29","420","424","416","421","0.24","67366"
"SBL","2021-04-28","425","427","418","420","-0.94","64764"
"SBL","2021-04-27","411","424","410","424","4.43","135163"
"SBL","2021-04-26","402","415","402","406","-0.49","142594"
"SBL","2021-04-25","422","422","407","408","-3.32","188620"
"SBL","2021-04-22","427","431","420","422","-0.24","107636"
"SBL","2021-04-21","425","433","422","423","-1.63","120441"
"SBL","2021-04-20","431","437","425","430","0.00","182731"
"SBL","2021-04-19","448","448","428","430","-3.37","351937"
